Id,Code,Name,Category,Price,Stock
1,LAP-001,Laptop Pro 15,Computers,1299.99,45
2,LAP-002,Laptop Air 13,Computers,999.99,78
3,MON-001,Ultra Monitor 27,Displays,449.99,32
4,KEY-001,Mechanical Keyboard,Peripherals,149.99,156
5,SSD-001,Portable SSD 1TB,Storage,129.99,198
6,GAM-5670,Monitor,Displays,1757.64,45
7,MOD-5820,Network Adapter,Networking,138.19,964
8,CHR-946,Laptop Pro 24,Computers,2995.67,97
9,MIC-4424,Amplifier Premium,Audio,270.46,212
10,ULT-2217,Laptop Air 17,Computers,730.91,338
11,SWI-4741,WiFi Extender AX3000,Networking,169.33,688
12,NAS-5828,SSD 256GB,Storage,684.93,921
13,TAB-4244,All-in-One,Computers,1403.93,884
14,POR-2853,4K Monitor 24,Displays,627.24,88
15,MEM-6818,USB Flash Drive,Storage,332.01,37
16,ARM-2548,Desk Mat Executive,Furniture,715.88,862
17,SCA-026,Scanner Pro,Peripherals,100.99,331
18,MOT-9304,Thermal Paste,Components,1219.29,447
19,DES-4800,Standing Desk Manual,Furniture,448.94,464
20,MON-7118,Gaming Monitor,Displays,315.67,973
21,LAP-4306,Desktop Workstation,Computers,1142.98,13
22,FAN-3054,DDR5 RAM,Components,285.83,196
23,WRI-9639,Cleaning Kit,Accessories,170.9,478
24,HDD-2908,Internal HDD,Storage,487.43,671
25,CHI-770,Footrest Electric,Furniture,703.36,567
26,EXT-2370,WiFi Router 24-Port,Networking,182.48,673
27,EXT-9130,Mesh WiFi,Networking,294.5,595
28,SPE-8168,Speaker RGB,Audio,157.09,98
29,CAS-4683,HDMI Splitter,Accessories,170.15,998
30,USB-4207,NVMe SSD,Storage,229.75,517
31,MIC-2286,Bluetooth Speaker,Audio,546.61,365
32,PRO-118,Ultra Monitor,Displays,781.54,858
33,ULT-2876,Touch Monitor 24,Displays,706.5,677
34,MAT-7707,Office Chair Manual,Furniture,560.93,168
35,FOO-851,Desk Mat,Furniture,152.26,463
36,MAT-3888,Monitor Riser,Furniture,759.15,169
37,HUB-9458,Laptop Stand,Accessories,217.18,156
38,CAS-7339,Mouse Pad Plus,Accessories,329.85,954
39,MIN-4417,Convertible Laptop 13,Computers,1168.77,515
40,USB-1182,NAS,Storage,894.58,912
41,DES-8256,Ultrabook 13,Computers,2391.31,427
42,MOD-9401,Network Switch 8-Port,Networking,408.49,654
43,EAR-244,Desktop Speakers Studio,Audio,430.65,41
44,WEB-6735,Wireless Keyboard Wireless,Peripherals,509.09,542
45,CHA-5412,Wrist Rest USB-C,Accessories,217.84,781
46,CAB-6061,USB Adapter,Networking,310.8,654
47,GPU-8399,Motherboard,Components,1195.53,582
48,WOR-2181,Student Laptop,Computers,913.72,602
49,USB-3277,Portable SSD,Storage,575.91,221
50,DES-2581,Desk Mat,Furniture,300.96,896
51,CHA-6763,Monitor Privacy Screen,Accessories,356.58,743
52,MIC-4087,Gaming Headset,Audio,573.13,650
53,PRO-1108,4K Monitor,Displays,1984.96,755
54,USB-460,Internal SSD 1TB,Storage,116.42,7
55,CPU-8470,Case Fan 16-Core,Components,665.93,432
56,SSD-9824,Internal HDD,Storage,571.38,284
57,HDD-3555,NAS HDD,Storage,111.49,968
58,FAN-6770,DDR5 RAM 4-Core,Components,268.65,463
59,HEA-6438,Studio Microphone Wireless,Audio,130.67,851
60,PRO-7958,Ultrawide Monitor 32,Displays,1285.64,576
61,CSE-6445,DDR5 RAM,Components,671.89,143
62,GAM-725,Tablet Pro 17,Computers,477.61,734
63,CUR-4746,Monitor,Displays,429.99,225
64,MON-7202,Monitor,Displays,1887.07,612
65,KEY-6631,Ergonomic Mouse Compact,Peripherals,98.83,353
66,DES-1363,Office Chair Ergonomic,Furniture,348.73,489
67,MOT-4344,DDR4 RAM,Components,1262.48,629
68,ROU-158,Powerline Adapter 16-Port,Networking,363.17,723
69,ROU-6508,Modem AX3000,Networking,18.37,558
70,MOD-3478,WiFi Router,Networking,183.77,524
71,USB-6633,Portable SSD 512GB,Storage,494.24,148
72,PEN-6515,Scanner,Peripherals,446.58,858
73,ROU-5681,WiFi Card 24-Port,Networking,295.94,471
74,CAB-8279,Mesh WiFi,Networking,426.49,733
75,FOO-9681,Monitor Riser,Furniture,209.97,754
76,WRI-6689,Laptop Stand,Accessories,22.4,197
77,SOU-5363,Gaming Headset Plus,Audio,96.9,267
78,MON-410,4K Monitor 21,Displays,610.43,939
79,MOU-4738,Gaming Keyboard,Peripherals,677.92,274
80,PRO-6332,4K Monitor,Displays,1033.38,86
81,MOT-5880,Power Supply,Components,913.93,126
82,MEM-7158,SD Card 2TB,Storage,10.54,175
83,PRO-8260,Portable Monitor,Displays,1969.74,877
84,GAM-4554,Touch Monitor 49,Displays,1653.26,931
85,CAB-3301,KVM Switch,Accessories,218.95,904
86,KVM-1820,Card Reader,Accessories,322.08,207
87,AMP-465,Gaming Headset,Audio,143.65,814
88,MIC-6878,Desktop Speakers Premium,Audio,155.82,240
89,CHA-9912,USB Hub Portable,Accessories,252.93,876
90,FOO-2409,Armrest Ergonomic,Furniture,241.04,553
91,POR-2044,4K Monitor 43,Displays,369.91,223
92,REA-4293,HDMI Splitter,Accessories,280.77,669
93,RAI-3841,Internal HDD,Storage,546.59,777
94,POR-094,Ultrawide Monitor,Displays,1954.3,578
95,COO-4607,DDR5 RAM 16GB,Components,1216.98,869
96,MON-5951,4K Monitor,Displays,1479.41,359
97,MOT-1359,PC Case,Components,1351.27,276
98,CAS-3750,Docking Station,Accessories,191.2,292
99,CPU-421,Power Supply,Components,561.87,387
100,NAS-5009,Portable SSD 512GB,Storage,134.85,550
101,AMP-7739,Amplifier 5.1,Audio,517.81,536
102,SSD-4661,NAS,Storage,495.35,404
103,LIG-7779,Wireless Charger,Accessories,360.32,216
104,DES-8446,Office Chair Executive,Furniture,398.6,308
105,GAM-3833,4K Monitor,Displays,1503.76,42
106,MIN-2044,Desktop Workstation 27,Computers,579.05,653
107,ARM-4089,Desk Organizer Ergonomic,Furniture,384.87,976
108,DOC-8557,Phone Holder,Accessories,12.65,47
109,KEY-8891,Mechanical Keyboard Pro,Peripherals,133.14,948
110,EXT-7497,WiFi Extender,Networking,237.35,749
111,CAB-6043,Cleaning Kit,Accessories,298.91,794
112,RAM-8786,DDR4 RAM 64GB,Components,1307.96,384
113,SSD-7115,SSD,Storage,75.79,685
114,AMP-7812,Gaming Headset Studio,Audio,414.15,384
115,PRO-7796,Mini Projector 21,Displays,251.3,157
116,USB-8117,MicroSD Card,Storage,513.03,584
117,LAP-8297,Business Laptop 24,Computers,1932.08,657
118,FAN-6271,Processor,Components,1051.88,332
119,DOC-3176,Laptop Case USB-C,Accessories,24.19,508
120,CHA-8033,Laptop Case,Accessories,361.24,109
121,TAB-5600,Ergonomic Mouse,Peripherals,113.42,601
122,SSD-1335,SD Card 512GB,Storage,843.68,151
123,CHI-268,Gaming Chair,Furniture,606.24,216
124,POR-5137,Monitor 49,Displays,369.27,57
125,ARM-1258,Desk Organizer Racing,Furniture,635.08,868
126,SOU-5841,Bluetooth Speaker,Audio,367.6,293
127,PEN-2671,Drawing Tablet,Peripherals,295.89,940
128,ARM-9314,Office Chair,Furniture,73.13,589
129,RAM-8174,AIO Cooler 8GB,Components,1059.82,36
130,MOT-3620,Power Supply,Components,1456.52,711
131,GAM-7991,Laptop Air,Computers,1169.44,360
132,GAM-4137,Curved Monitor 34,Displays,486.77,978
133,PSU-272,DDR4 RAM 16-Core,Components,559.29,224
134,CPU-7220,Power Supply,Components,407.17,292
135,MEM-8148,NVMe SSD 128GB,Storage,80.73,553
136,MON-4360,Gaming Monitor,Displays,931.18,367
137,SWI-997,Ethernet Cable,Networking,371.62,439
138,EAR-3065,Wireless Headphones,Audio,506.87,351
139,TAB-881,Convertible Laptop 14,Computers,906.81,116
140,EAR-8490,Amplifier,Audio,277.42,781
141,ROU-2873,WiFi Extender AX3000,Networking,432.32,677
142,ROU-5486,Network Adapter 8-Port,Networking,284.48,556
